Date,ABER_BAND_20_15_USU_L2_EXTI32_STF_BIN,ABER_BAND_20_15_USU_L3_EXTI35_STF_BIN,ABER_XG_20_15_USU_L2_EXTI20_BIN,AD_DIFF_USU_L4_EXTI2_BIN,BBPL_20_2_0_USU_L1_EXTI7_BIN,D_J_USU_L5_EXTI29_BIN,K_J_USU_L2_EXTI0_BIN,K_J_USU_L5_EXTI6_BIN,PVOh_12_26_9_L5_EXTI18_BIN,PVOh_12_26_9_L6_EXTI38_BIN,QQE_DELS_USU_L5_EXTI35_BIN,SMIo_5_20_5_L3_EXTI27_BIN,WCP_USU_L2_EXTI22_BIN,ABER_BAND_20_15_USU_L2_EXTI32_STF,ABER_BAND_20_15_USU_L3_EXTI35_STF,ABER_XG_20_15_USU_L2_EXTI20,AD_DIFF_USU_L4_EXTI2,BBPL_20_2_0_USU_L1_EXTI7,D_J_USU_L5_EXTI29,K_J_USU_L2_EXTI0,K_J_USU_L5_EXTI6,PVOh_12_26_9_L5_EXTI18,PVOh_12_26_9_L6_EXTI38,QQE_DELS_USU_L5_EXTI35,SMIo_5_20_5_L3_EXTI27,WCP_USU_L2_EXTI22,target,Close,Open,High,Low,Volume
2024-08-26,3,1,2,1,3,1,3,3,1,2,3,3,2,0.007192545207421519,-0.03932601271693281,56.86922782678718,-1730062659.7353516,0.9524373121420018,-42.03277042387883,24.760542034967852,10.785370543346051,-3.334068865476002,-3.9802338427992368,6.918459000503866,0.06103960980905865,0.0,1,529.5999755859375,534.3499755859375,536.989990234375,522.3200073242188,357981
2024-08-23,2,2,3,3,3,1,3,3,1,2,3,3,3,-0.010238422320582696,-0.02254566633129773,128.57562112630703,5538755874.243774,0.7796591871784763,-48.08656275178363,33.61626028245938,10.553517969224771,-3.0748431268155656,-4.396740784226509,7.147944510987372,0.05187789739279486,0.01250004768371582,1,527.239990234375,526.9500122070312,527.2899780273438,521.5,144449
2024-08-22,2,1,2,2,3,1,3,3,1,2,3,2,2,-0.016625230632300703,-0.05274621536538149,73.86297075529298,2570593572.955017,0.961414415810616,-54.669131388511225,27.804255062103287,10.446456760619938,-2.811454931210381,-5.5100236642267575,6.7068193578834325,0.0258129943726087,0.0,0,527.0900268554688,525.0,533.5800170898438,525.0,314790
2024-08-21,1,1,3,3,3,1,3,2,1,2,2,2,2,-0.03553666247967091,-0.06679796929650195,101.42778058957096,5081933134.9939575,0.9790567421412812,-51.308737359376494,13.112960779861396,3.5253072621888535,-3.1500673204204563,-4.123923115185448,5.058615445869613,-0.003912408736004819,0.0,0,530.969970703125,530.5,533.760009765625,520.9099731445312,532366
2024-08-20,1,3,3,2,3,1,2,2,1,2,3,2,1,-0.0260137242626699,0.05788778247985782,94.24783037077273,2013269428.744751,0.927891490461115,-36.621456891611736,-7.971708128489425,-5.6705277635127445,-2.5921277097602875,-2.708732927432113,6.251176473778045,0.002850545100482327,-0.027500033378601074,0,531.010009765625,524.219970703125,537.1799926757812,524.219970703125,222835
2024-08-19,3,1,3,3,3,1,1,2,1,2,3,3,1,0.0339643291723879,-0.055846124192614255,99.8416980177167,5241475082.178223,0.7705220405022367,-26.100930195229957,-19.872249668338938,-4.088069893299192,-2.23594780775465,-2.849004237948659,7.055296452381739,0.03989673977936539,-0.040000081062316895,0,531.6099853515625,529.2999877929688,532.9400024414062,527.010009765625,502507
2024-08-16,2,2,2,2,2,1,1,1,1,2,3,3,2,-0.005545550461065307,-0.03362768928553894,-14.672290131215588,-845718801.4638672,0.6059948951299476,-25.36879829384918,-20.24256887601969,-8.283318946118492,-0.8495856102781789,-1.8966034141608574,7.070923648117912,0.05380128645700097,0.0,1,525.25,526.780029296875,528.6300048828125,523.0399780273438,191406
2024-08-15,2,1,2,3,1,1,1,2,3,2,3,3,1,-0.01374349250445106,-0.06189649853150181,28.346167868643864,3416706500.122864,0.24057579336136,-18.86915823982881,-33.43009786787434,-4.3423595668066,0.9462410511320778,-1.1693203572960869,6.9708998858361895,0.06554343242134764,-0.022500157356262207,1,524.1900024414062,524.3800048828125,529.3499755859375,521.1099853515625,191867
2024-08-14,1,1,2,3,2,2,1,3,3,2,2,3,2,-0.022577881959535695,-0.03569237136768866,26.143385365382372,4892759558.767578,0.3448987819598799,-5.281059792476217,-42.09144562922796,10.967539894963696,2.4698041849181234,0.2718731041145155,-2.3266519699578083,0.09071100946886611,0.0,1,524.4299926757812,519.6500244140625,527.0999755859375,517.75,289208
2024-08-13,1,3,1,1,2,2,1,3,3,3,1,3,2,-0.02599239536604747,0.039893220844394506,-44.42333218019874,-5550530590.839539,0.382023064367716,-8.811284242293997,-29.151841928614267,17.077677099177837,3.3764460580903957,1.8731178542716087,-5.339018369161238,0.04746484180856275,0.0,0,522.27001953125,513.0,522.9600219726562,513.0,195748
