Date,ABER_SG_20_15_USU_EXTI7_BIN,ACCBU_20_BAND_USU_L1_EXTI18_STF_BIN,AD_DIFF_USU_EXTI33_BIN,D_J_USU_L1_EXTI6_BIN,HILO_13_21_L2_EXTI7_STF_BIN,HILO_13_21_L4_EXTI38_STF_BIN,HWL_USU_EXTI39_BIN,K_D_USU_EXTI5_BIN,THERMO_20_2_0_5_USU_L5_EXTI32_BIN,THERMO_20_2_0_5_USU_L6_EXTI32_BIN,WCP_USU_EXTI4_BIN,WCP_USU_L1_EXTI20_BIN,WCP_USU_L3_EXTI13_BIN,ABER_SG_20_15_USU_EXTI7,ACCBU_20_BAND_USU_L1_EXTI18_STF,AD_DIFF_USU_EXTI33,D_J_USU_L1_EXTI6,HILO_13_21_L2_EXTI7_STF,HILO_13_21_L4_EXTI38_STF,HWL_USU_EXTI39,K_D_USU_EXTI5,THERMO_20_2_0_5_USU_L5_EXTI32,THERMO_20_2_0_5_USU_L6_EXTI32,WCP_USU_EXTI4,WCP_USU_L1_EXTI20,WCP_USU_L3_EXTI13,target,Close,Open,High,Low,Volume
2024-08-23,3,1,3,2,2,2,3,1,2,3,3,1,2,101.72512177018784,-0.09534035616327952,29809.579181145964,7.594185794197912,0.01638094584147254,-0.0025476046970913657,112.86986803150664,-16.377686109017766,-0.10660392934196178,0.1634246044115159,0.4400005340576172,0.0,-0.625,0,43.29999923706055,42.75,43.900001525878906,42.720001220703125,756433
2024-08-22,3,1,1,3,2,1,3,1,3,2,3,1,3,36.935165616478436,-0.22899189377526064,-25903.29572753905,23.107438123582515,0.027380988711399823,-0.00816665376935699,78.79609933941158,-10.80355128340075,0.1634246044115159,-0.0693728056504298,0.23000144958496094,-3.0,4.25,0,43.0,43.099998474121094,43.18000030517578,42.58000183105469,358106
2024-08-21,3,2,2,3,2,2,3,2,2,2,1,1,2,90.14733283632985,-8.232283209164137e-05,-1026.1195712296758,25.664440334948136,0.0085714431036088,-0.006091564129560467,96.3584726496212,-2.4393867860542002,-0.0693728056504298,-0.0610502062452119,-0.4400005340576172,0.0,-2.8125,0,43.060001373291016,42.560001373291016,43.27000045776367,42.400001525878906,649794
2024-08-20,3,3,3,3,1,2,3,2,2,1,2,1,2,80.8384437105617,0.07214001026787553,15841.574987738451,16.17805581501908,-0.057952426728746786,-0.005769216097317731,81.33916512084524,1.0101494319238498,-0.0610502062452119,-0.3174765437447079,-0.11249923706054688,0.0,-2.125,1,42.72999954223633,42.41999816894531,42.77000045776367,42.16999816894531,659806
2024-08-19,3,1,3,3,3,1,2,3,1,1,1,1,2,57.27674794580239,-0.1124947627011732,22528.328987699264,15.830276953837156,0.08514624375563429,-0.007423107440654775,65.78849535847746,4.768840626274141,-0.3174765437447079,-0.2102701272967824,-0.5749988555908203,0.0,-2.5,1,42.61000061035156,42.88999938964844,43.02000045776367,42.209999084472656,143305
2024-08-16,3,1,3,3,2,2,2,3,1,1,2,1,1,14.995721578398085,-0.21313592628613254,34367.19421155329,15.669685140929907,-0.014230728149414062,-0.005153839404766991,25.567232348259385,8.031288887132206,-0.2102701272967824,-0.21677882490696998,-0.10000038146972656,0.0,-3.5,1,42.68000030517578,42.66999816894531,43.060001373291016,42.380001068115234,710646
2024-08-15,2,2,1,2,1,1,1,3,1,2,2,1,1,-26.394965159903244,0.053481547435665355,-27799.165006569732,5.287960893283277,-0.06961543743426901,-0.010384632990910525,18.350862209349646,12.34685192275684,-0.21677882490696998,0.02602735141861212,0.19750213623046875,0.0,-6.5625,0,42.599998474121094,42.68000030517578,43.099998474121094,42.40999984741211,177045
2024-08-14,1,3,2,2,1,1,1,3,2,3,1,1,3,-137.35178806751432,0.14862270419614898,0.0,-8.505791645269113,-0.09484613858736424,-0.019961558855496442,10.145275378377772,14.565413489425481,0.02602735141861212,0.4818920726205713,-0.49249839782714844,0.0,3.375,0,42.41999816894531,43.0,43.72999954223633,41.84000015258789,251649
2024-08-13,1,2,2,2,1,1,2,3,3,3,1,1,1,-107.49400667308008,-0.00577391676926009,0.0,-6.132104839948788,-0.12653849675105278,-0.02250001980708216,30.87062757637014,16.510653245226365,0.4818920726205713,0.6263675539490525,-0.40250205993652344,0.0,-3.375,0,42.5099983215332,43.0,43.7400016784668,42.310001373291016,359587
2024-08-12,2,2,2,1,1,1,2,3,3,3,3,1,2,-101.10140987998953,-0.015614805065562898,-87.0,-12.42497841917774,-0.12492311917818455,-0.02976923722487257,62.07230181511299,16.54369804498028,0.6263675539490525,1.0204259806805318,0.8149986267089844,-0.1750030517578125,0.0,0,42.560001373291016,42.79999923706055,42.97999954223633,42.02000045776367,514565
2024-08-09,1,3,2,2,1,1,2,3,3,3,2,1,2,-151.92746384509687,0.14656995536333461,36.16703621580382,-6.513539350209896,-0.16753842280461484,-0.02519229742196849,38.30577984424106,17.98800588286496,1.0204259806805318,0.26846424180479833,0.1849994659423828,0.0,-2.4375,0,42.79999923706055,43.939998626708984,44.470001220703125,42.09000015258789,453624
2024-08-08,1,3,2,3,1,1,1,3,3,3,3,1,3,-159.5774960353662,0.4200380098626608,38.28021240234375,16.451309842445546,-0.22530761131873334,-0.03103846770066454,6.708466447597878,16.468339787698888,0.26846424180479833,0.39047363567898763,0.31500244140625,0.0,5.5,0,43.95000076293945,43.79999923706055,44.689998626708984,43.27000045776367,223175
2024-08-07,1,3,2,3,1,1,1,3,3,2,3,2,3,-234.66089729882563,0.4859176443770803,160.0,25.616515648766757,-0.13246140113243854,-0.035576930412879904,16.647973813819355,13.19205785931435,0.39047363567898763,-0.09967387635480315,0.5100021362304688,1.0250091552734375,2.0,0,43.5,44.81999969482422,45.0,42.91999816894531,554940
