Date,ACCBU_20_BAND_USU_L2_EXTI22_STF_BIN_1,ACCBU_20_BAND_USU_L2_EXTI22_STF_BIN_2,ACCBU_20_BAND_USU_L2_EXTI22_STF_BIN_3,AD_DIFF_USU_L5_EXTI38_BIN_1,AD_DIFF_USU_L5_EXTI38_BIN_2,AD_DIFF_USU_L5_EXTI38_BIN_3,AROONOSC_14_L3_EXTI33_BIN_1,AROONOSC_14_L3_EXTI33_BIN_2,AROONOSC_14_L3_EXTI33_BIN_3,BBPU_20_2_0_USU_L2_EXTI15_BIN_1,BBPU_20_2_0_USU_L2_EXTI15_BIN_2,BBPU_20_2_0_USU_L2_EXTI15_BIN_3,D_J_USU_L1_EXTI6_BIN_1,D_J_USU_L1_EXTI6_BIN_2,D_J_USU_L1_EXTI6_BIN_3,K_D_USU_L5_EXTI25_BIN_1,K_D_USU_L5_EXTI25_BIN_2,K_D_USU_L5_EXTI25_BIN_3,PVOh_12_26_9_L1_EXTI16_BIN_1,PVOh_12_26_9_L1_EXTI16_BIN_2,PVOh_12_26_9_L1_EXTI16_BIN_3,QQE_DELS_USU_L2_EXTI13_BIN_1,QQE_DELS_USU_L2_EXTI13_BIN_2,QQE_DELS_USU_L2_EXTI13_BIN_3,SMIo_5_20_5_L2_EXTI27_BIN_1,SMIo_5_20_5_L2_EXTI27_BIN_2,SMIo_5_20_5_L2_EXTI27_BIN_3,THERMO_20_2_0_5_USU_L4_BIN_1,THERMO_20_2_0_5_USU_L4_BIN_2,THERMO_20_2_0_5_USU_L4_BIN_3,WCP_L3_STF_BIN_1,WCP_L3_STF_BIN_2,WCP_L3_STF_BIN_3,WCP_L6_STF_BIN_1,WCP_L6_STF_BIN_2,WCP_L6_STF_BIN_3,WCP_USU_L3_EXTI34_BIN_1,WCP_USU_L3_EXTI34_BIN_2,WCP_USU_L3_EXTI34_BIN_3,target,probs
2024-07-29,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.40755055296707876
2024-07-26,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.40628166316413594
2024-07-25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.41051286178883034
2024-07-24,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4056581712988825
2024-07-23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.40384474749721594
2024-07-22,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.41038983022359904
2024-07-19,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.4098792242074013
2024-07-18,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.41208335650667854
2024-07-17,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.41489858675817515
2024-07-16,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4143291974471919
