Date,ACCBU_20_BAND_USU_L2_EXTI22_STF_BIN,AD_DIFF_USU_L5_EXTI38_BIN,AROONOSC_14_L3_EXTI33_BIN,BBPU_20_2_0_USU_L2_EXTI15_BIN,D_J_USU_L1_EXTI6_BIN,K_D_USU_L5_EXTI25_BIN,PVOh_12_26_9_L1_EXTI16_BIN,QQE_DELS_USU_L2_EXTI13_BIN,SMIo_5_20_5_L2_EXTI27_BIN,THERMO_20_2_0_5_USU_L4_BIN,WCP_L3_STF_BIN,WCP_L6_STF_BIN,WCP_USU_L3_EXTI34_BIN,ACCBU_20_BAND_USU_L2_EXTI22_STF,AD_DIFF_USU_L5_EXTI38,AROONOSC_14_L3_EXTI33,BBPU_20_2_0_USU_L2_EXTI15,D_J_USU_L1_EXTI6,K_D_USU_L5_EXTI25,PVOh_12_26_9_L1_EXTI16,QQE_DELS_USU_L2_EXTI13,SMIo_5_20_5_L2_EXTI27,THERMO_20_2_0_5_USU_L4,WCP_L3_STF,WCP_L6_STF,WCP_USU_L3_EXTI34,target,Close,Open,High,Low,Volume
2024-08-09,1,1,1,1,2,2,1,2,3,3,3,1,3,-0.7723959957734596,-421.0,-100.0,-100.95024891509415,-6.513539350209896,2.3794713005491666,-13.733228292450292,4.280098485404562,0.07304187858113673,0.20934297477688313,0.7650003433227539,-0.4374990463256836,59.0498046875,1,45.150001525878906,43.970001220703125,45.459999084472656,43.310001373291016,1229225
2024-08-08,2,1,1,1,3,3,1,2,3,3,1,3,3,0.04327676618244958,-414.5386907107604,-92.85714285714286,-99.07178880886494,16.451309842445546,12.39686217986598,-12.156255061875605,4.05427146530409,0.03393052371589772,0.5613809084396636,-0.9649991989135742,1.274998664855957,14.2373046875,1,43.939998626708984,43.84000015258789,44.2599983215332,43.380001068115234,988798
2024-08-07,3,3,1,1,3,3,2,2,2,1,1,2,1,0.5004989827374828,415.9398792882712,-85.71428571428571,-114.52506146075909,25.616515648766757,19.00583736484469,-10.19297558579673,4.443209672951845,-0.005895779117118555,-0.4695265169440519,-1.157501220703125,-0.08500003814697266,-30.5751953125,1,43.70000076293945,43.470001220703125,44.099998474121094,43.45000076293945,1347461
2024-08-06,2,3,1,1,3,2,2,3,1,2,1,1,1,0.09560145842851497,791.4030671714427,-78.57142857142857,-74.50217918068122,15.72709074997605,-2.239993092952454,-7.778603618732238,6.513288970179207,-0.03725374618440261,0.07104979175499126,-0.4374990463256836,-0.9349994659423828,-74.87548828125,1,43.880001068115234,42.43000030517578,44.09000015258789,42.099998474121094,1382475
2024-08-05,2,3,1,2,2,2,3,3,2,1,3,1,3,0.03442719087922619,528.9080785085825,-78.57142857142858,-44.10223853705341,8.294026890725881,-3.7444779713225245,-5.3517870927759095,6.4814279842221865,-0.02289380040094785,-0.2814718931486775,1.274998664855957,-0.7999992370605469,26.32568359375,1,42.5,43.119998931884766,43.849998474121094,42.040000915527344,1103059
2024-08-02,2,2,1,2,1,2,2,3,2,2,2,1,2,0.23267887604923665,-59.384978420086554,-78.57142857142857,-20.43563837569192,-25.132102154952776,-2.6180327858832495,-10.382243315855817,6.406957338197948,0.013352443988933892,-0.09109929277699214,-0.08500003814697266,-0.2975006103515625,-6.62548828125,0,43.66999816894531,44.279998779296875,44.290000915527344,43.119998931884766,1313529
2024-08-01,3,2,1,2,1,2,1,3,2,2,1,3,2,1.387484420204526,229.33371303686,-100.0,-21.818987870279464,-52.96198997999147,1.2569250304492368,-13.54034362480433,6.324269895151431,0.005350988719153828,0.1293108502196526,-0.9349994659423828,1.3400001525878906,-5.4755859375,0,44.68000030517578,45.540000915527344,45.70000076293945,44.31999969482422,1025066
2024-07-31,1,1,1,2,1,3,1,2,2,2,1,3,3,-0.540385365980292,-596.0,-100.0,-27.690904882731573,-57.13317742313115,5.899602220585075,-13.197819584385666,-0.7907408566116843,-0.024266278705830244,-0.0870808382697672,-0.7999992370605469,0.5299997329711914,25.62548828125,0,45.689998626708984,44.0,45.75,44.0,2445211
2024-07-30,2,2,2,2,1,2,1,1,2,3,1,3,2,-0.27157995909877286,251.48001271556132,-42.85714285714286,-23.320058461134256,-38.85177423282421,-1.8931868578121058,-11.759856743359283,-3.756846492379566,-0.0037934906184689116,1.403756572399102,-0.2975006103515625,0.44249916076660156,8.22509765625,0,43.9900016784668,43.209999084472656,44.84000015258789,43.209999084472656,3795742
2024-07-29,2,2,2,2,1,1,1,1,2,2,3,3,1,0.3363568043374485,-49.286737467642524,-42.85714285714286,-47.791905503770934,-13.210008738725815,-7.976932376349588,-11.726155030030176,-6.172232621901443,-0.009080408523349022,-0.038479730462567474,1.3400001525878906,0.3000011444091797,-51.30029296875,1,43.7400016784668,44.58000183105469,45.38999938964844,43.5,1098722
2024-07-26,1,1,2,2,2,1,1,2,2,2,3,2,2,-0.7466830166791905,-287.954578722085,-42.85714285714285,-49.57708073533168,-9.767296782651423,-10.12220105231818,-11.1517169688352,1.0135080137304655,0.028530602841487958,-0.18253343275169875,0.5299997329711914,-0.08750057220458984,-3.6494140625,1,44.93000030517578,45.97999954223633,45.97999954223633,44.27000045776367,1104702
2024-07-25,3,1,2,2,3,1,1,2,3,2,3,1,3,1.5092670153811625,-437.0,-42.85714285714285,-28.504948458462124,18.24240728541939,-12.418505310167971,-12.453768158883634,1.5982448733270331,0.03373210042672873,-0.19174534207404037,0.44249916076660156,-0.5,38.04931640625,0,45.65999984741211,46.97999954223633,46.97999954223633,45.0099983215332,2372461
2024-07-24,2,1,2,2,3,1,1,2,2,2,3,2,2,0.28425267054648806,-314.99709748309397,28.57142857142857,-23.998009840264714,21.010530344009197,-14.48056356278801,-11.545311225370982,3.38784990664783,0.02421067761947606,-0.19192860452868843,0.3000011444091797,-0.2324991226196289,-1.44970703125,0,46.38999938964844,44.84000015258789,47.47999954223633,44.2400016784668,1708320
2024-07-23,3,1,3,2,3,1,1,3,1,2,2,1,1,0.6611124252620595,-519.7748082666658,35.71428571428571,-26.45303425072029,24.866758753265774,-17.632481479617425,-13.019574398059149,6.106399070672623,-0.033980179550421596,0.11787021552297916,-0.08750057220458984,-0.9575004577636719,-20.89990234375,0,45.04999923706055,45.0,45.209999084472656,43.83000183105469,1522571
2024-07-22,3,2,3,3,3,1,2,3,2,1,1,3,1,0.9201851676670714,-177.90324324730318,42.85714285714286,-8.89285031459849,24.743813763648284,-21.62824674360475,-10.538607067563657,6.076775461647756,-0.0072617700721484685,-0.36972239336933876,-0.5,0.3924999237060547,-14.625,1,44.400001525878906,44.09000015258789,44.529998779296875,43.689998626708984,1065708
2024-07-19,1,3,3,3,3,1,2,3,2,2,2,2,3,-1.9651825145852815,608.0,50.0,19.733496147000665,23.645652706612754,-21.767158841518203,-7.263567690619087,6.072702173163073,-0.011427702596692804,-0.11864343920971743,-0.2324991226196289,-0.02749919891357422,59.25048828125,1,43.9900016784668,43.650001525878906,44.119998931884766,43.150001525878906,707088
2024-07-18,2,1,3,3,3,1,3,3,3,1,1,3,2,-0.2664898339959283,-923.3175774011324,57.14285714285714,31.13112440532012,18.38841805159582,-16.637921351443943,-5.261756314706346,5.997738181270513,0.05567429450732453,-0.5611325274602058,-0.9575004577636719,1.3399991989135742,12.94970703125,1,43.310001373291016,43.75,44.66999816894531,42.7599983215332,1057981
2024-07-17,2,2,3,3,2,1,3,3,3,2,3,1,2,0.07657247106584997,56.59500205582299,57.14285714285714,15.546705530115018,15.095399954263932,-16.356164391142165,-2.1084934100642876,5.881817384976046,0.08316728049331379,-0.07019605754030966,0.3924999237060547,-0.4324989318847656,6.375,1,43.7400016784668,43.560001373291016,44.099998474121094,42.81999969482422,2581309
2024-07-16,2,1,3,3,3,1,3,3,3,3,2,3,3,-0.10033268800444439,-376.70315742702223,57.14285714285714,13.292035861577277,27.658259648498436,-7.374689290194993,4.27453654857138,5.755730032176295,0.09554197458725766,0.26241503635912733,-0.02749919891357422,0.2974987030029297,28.4248046875,0,43.90999984741211,44.209999084472656,45.0,43.58000183105469,1007518
2024-07-15,1,1,3,3,3,2,3,3,3,1,3,1,3,-0.6441116783836129,-289.847102019412,57.14285714285714,0.48357200910693504,60.91169014735889,1.52377152689715,11.063080061248314,5.704271431896835,0.08778805972971863,-0.5499662955198049,1.3399991989135742,-1.1024999618530273,68.02490234375,0,44.099998474121094,45.33000183105469,45.400001525878906,43.72999954223633,1048878
2024-07-12,1,3,3,3,3,3,3,2,3,1,1,2,1,-1.1801747297834524,338.49494411174965,57.14285714285715,3.6213743903954283,61.09851111177185,7.786922431689447,14.864579927079504,-0.2162250318973662,0.06259542893129585,-0.5878570267582177,-0.4324989318847656,-0.0775003433227539,-14.27490234375,0,45.52000045776367,44.959999084472656,45.70000076293945,44.41999816894531,1187171
2024-07-11,1,3,3,2,3,3,3,1,3,3,3,3,3,-1.4595221884127163,419.21148333085875,57.14285714285715,-30.392023472635028,48.685829568142346,9.61816788492365,19.446611985398842,-3.4501356946645814,0.03846448204589814,0.48026435432983583,0.2974987030029297,1.1550006866455078,30.25,0,44.88999938964844,45.650001525878906,45.650001525878906,44.15999984741211,979922
2024-07-10,1,3,3,2,3,3,3,1,2,3,1,2,1,-1.7230832534140887,476.4736824178981,57.14285714285714,-23.098103792534033,38.792882348798216,11.673507517523248,24.92204390978028,-5.247878527948785,0.009889546326031895,0.5208163606604024,-1.1024999618530273,-0.1750011444091797,-57.47509765625,0,45.349998474121094,43.93000030517578,45.650001525878906,43.349998474121094,2407782
2024-07-09,1,2,3,3,2,3,3,1,2,3,2,3,2,-0.573972859306128,-188.52524636534508,50.0,-17.144594274845968,10.053878473230625,13.618728218907052,28.723082923587437,-5.661270877593715,0.012404769540155347,0.7356389828788699,-0.0775003433227539,0.3600015640258789,-5.9248046875,1,43.36000061035156,43.95000076293945,44.5,43.119998931884766,1223602
2024-07-08,1,3,3,3,2,3,3,1,2,1,3,3,3,-0.8903979867110898,795.5913618138729,42.85714285714286,-16.78415547447057,2.9964805707536897,12.017243897723056,31.891316382075903,-5.664142650122365,0.011868039283813636,-0.6369222829550156,1.1550006866455078,0.3149995803833008,42.44970703125,1,44.41999816894531,43.5099983215332,44.41999816894531,42.810001373291016,1857310
2024-07-05,2,3,3,3,1,3,3,2,2,1,2,1,3,-0.21183279149559198,670.0886326097243,35.71428571428572,-16.506433376036384,-10.977271165321483,10.54792004445202,33.6666767293019,1.5293870633615114,0.0028706736839585467,-0.2539659708529326,-0.1750011444091797,-0.4975004196166992,37.400390625,1,43.59000015258789,44.5099983215332,44.560001373291016,43.13999938964844,934726
2024-07-04,2,1,2,3,1,2,3,2,2,2,3,3,2,-0.11836411377802136,-1437.0440895978827,28.57142857142857,-9.87545476562633,-24.24542688239228,1.2558872331723734,35.90645096839411,3.9203891265335784,-0.023361018401435396,0.01930000611783189,0.3600015640258789,0.40000057220458984,5.4501953125,0,44.70000076293945,44.66999816894531,45.290000915527344,44.599998474121094,53718
2024-07-03,3,3,2,2,1,2,3,3,1,1,3,2,1,0.6275561811353114,27281.99999999866,-21.42857142857143,-23.252539728470214,-33.01678687934769,3.9122671783938756,40.613180425649894,5.198065732681876,-0.07259511504957772,-0.5886652099451142,0.3149995803833008,0.19250011444091797,-26.5,0,45.220001220703125,43.150001525878906,46.0099983215332,43.150001525878906,1525004
2024-07-02,3,1,2,2,1,3,3,3,1,1,1,2,3,0.559642497741482,-560.6230007616105,-21.428571428571445,-26.421033821022178,-38.40678917795758,11.244371155261028,40.984759814711836,5.94580000862247,-0.08830966588234226,-0.2806310370019395,-0.4975004196166992,0.14999961853027344,32.32470703125,0,43.689998626708984,43.27000045776367,44.400001525878906,43.20000076293945,2743969
2024-07-01,3,3,2,3,1,3,3,3,1,1,3,1,3,0.834226244576147,668.0,-21.42857142857143,-18.880348138948808,-44.863461417319,19.692417076301638,27.312907732638152,5.66756709566193,-0.1346876027952083,-0.570173282390507,0.40000057220458984,-0.282501220703125,24.8251953125,1,44.11000061035156,43.59000015258789,44.2400016784668,43.220001220703125,1724237
2024-06-28,3,1,2,2,1,3,2,2,1,1,2,2,2,1.7938533963666412,-513.0771391321032,-21.42857142857143,-22.811535441508806,-33.27381280480646,13.586957377707478,-9.895979597460304,4.628833276377179,-0.1417832525161242,-0.8401944218120612,0.19250011444091797,-0.08749866485595703,9.5,1,43.38999938964844,43.54999923706055,44.849998474121094,42.61000061035156,2642770
2024-06-27,2,3,3,2,2,3,2,2,1,1,2,2,3,-0.262482856292495,445.0,78.57142857142858,-21.506582819419673,-1.3492544215306097,15.582190394585762,-9.596796471712857,4.59992299856215,-0.155385003372133,-0.4486325829639477,0.14999961853027344,-0.017500877380371094,61.24951171875,1,43.02000045776367,43.709999084472656,43.939998626708984,43.0,1431613
2024-06-26,1,3,2,3,2,3,2,2,1,1,1,3,2,-1.5004724598287602,449.5,-14.28571428571429,8.855475224736496,6.908181478857223,7.4239068522386376,-10.015077964534157,4.62961030198322,-0.1573811728599684,-0.5158575231448772,-0.282501220703125,1.4750003814697266,5.9501953125,0,43.97999954223633,43.16999816894531,44.2400016784668,42.77000045776367,2659733
